ano_base,uf,ocupacao_principal,qtde_contribuintes,rendimento_tributavel_total,rend_sujeitos_a_tribut_exclusiva,rend_isentos_e_nao_tributaveis,imposto_devido_total,imposto_pago,rend_total,rend_total_por_contrib,pct_isento,pct_tributavel,pct_exclusiva,aliq_efetiva_devida,aliq_efetiva_paga
2020,Acre,Outras ocupações não especificadas anteriormente,16166.0,75632000000.0,6314000000.0,1385000000.0,5615000000.0,6017000000.0,83331000000.0,5154707.4106148705,0.016620465373030444,0.9076094130635658,0.07577012156340378,0.0673818866928274,0.07220602176860952
2020,Acre,Outros profissionais do espetáculo e das artes,19.0,74000000.0,4000000.0,1000000.0,4000000.0,5000000.0,79000000.0,4157894.736842105,0.012658227848101266,0.9367088607594937,0.05063291139240506,0.05063291139240506,0.06329113924050633
2020,Acre,Outros trabalhadores de serviços diversos,1171.0,456000000.0,312000000.0,494000000.0,199000000.0,232000000.0,1262000000.0,1077711.3578138344,0.39144215530903326,0.3613312202852615,0.24722662440570523,0.1576862123613312,0.1838351822503962
2020,Acre,Outros técnicos de nível médio,2629.0,16029000000.0,1273000000.0,1102000000.0,1187000000.0,133000000.0,18404000000.0,7000380.37276531,0.059878287328841553,0.8709519669637036,0.0691697457074549,0.06449684851119322,0.007226689850032601
2020,Acre,"Outros técnicos nível médio ciências fís,, quím,, engenharia",102.0,753000000.0,73000000.0,8000000.0,75000000.0,8000000.0,834000000.0,8176470.588235294,0.009592326139088728,0.9028776978417267,0.08752997601918465,0.08992805755395683,0.009592326139088728
2020,Acre,"Pedagogo, orientador educacional",593.0,4858000000.0,354000000.0,273000000.0,514000000.0,501000000.0,5485000000.0,9249578.414839797,0.04977210574293528,0.8856882406563354,0.06453965360072926,0.09371011850501368,0.09134001823154056
2020,Acre,"Pescador, caçador e extrativista florestal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Piloto de aeronaves, comandante de embarc,, oficiais de máq,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Policial Militar,2679.0,26758000000.0,1587000000.0,668000000.0,286000000.0,3159000000.0,29013000000.0,10829787.234042553,0.023024161582738772,0.9222762210043773,0.05469961741288388,0.009857650018957019,0.1088822252093889
2020,Acre,"Presidente e diretor empresa pública e soc, economia mista",32.0,261000000.0,13000000.0,54000000.0,31000000.0,36000000.0,328000000.0,10250000.0,0.16463414634146342,0.7957317073170732,0.039634146341463415,0.09451219512195122,0.10975609756097561
